,mlb,nfl,nhl,nba,ncaaf,ncaabb
1990,c,sf,e,det,col/gt,unlv
1991,m,ny,p,chi,mia/was,duke
1992,t,w,p,chi,ala,duke
1993,t,da,m,chi,flst,unc
1994,,da,ny,hou,neb,ark
1995,at,sf,nj,hou,neb,ucla
1996,n,da,col,chi,flo,ken
1997,f,g,de,chi,mich/neb,ariz
1998,n,de,de,chi,ten,ken
1999,n,de,da,san,flst,conn
2000,n,st,nj,la,ok,michst
2001,ar,b,col,la,mia/was,duke
2002,an,ne,de,la,ohst,mary
2003,f,tb,nj,san,lsu/usc,syr
2004,b,ne,tb,det,usc,conn
2005,cw,ne,,san,tex,unc
2006,st,pi,ca,mia,flo,flo
2007,b,in,a,san,lsu,flo
2008,p,ny,de,bos,flo,kan
2009,n,pi,p,la,ala,unc
2010,sf,no,ch,la,aub,duke
2011,st,g,bo,dal,ala,conn
2012,sf,ny,la,mia,ala,ken
2013,b,b,ch,mia,flst,lou
2014,sf,se,la,san,ohst,conn
2015,kc,ne,ch,gs,ala,duke
2016,cc,de,p,cle,cle,nova
2017,h,ne,p,gs,ala,unc
2018,b,ph,w,gs,cle,nova
2019,w,ne,stl,tor,lsu,virg
2020,la,kc,tb,la,ala,
2021,at,tb,tb,mil,g,bay
2022,h,lar,col,gs,g,kan
2023,tx,kc,v,den,mich,conn
2024,la,kc,fl,bos,ohst,conn
2025,la,ph,fl,okc,ind,flo
2026,,se,,,,mich
